"","N_coeff","slope_mq","RMSD_mq","MAD_mq","R2_mq","slope_mc","RMSD_mc","MAD_mc","R2_mc","slope_mT","RMSD_mT","MAD_mT","R2_mT","slope_cq","RMSD_cq","MAD_cq","R2_cq"
"20150628 10:00",511,0.00110713311397453,0.00807194484690042,0.00291247660375867,0.594188939388348,-9.64316186674164e-05,0.0117059654381655,0.00324515492448907,0.146542335041057,0.00415412957587481,0.0148096332471502,0.0045198177568938,-0.366017035011965,-11.225467788019,62.3367264327394,13.0782142639566,0.679465530694935
"20150628 10:30",1020,0.000946823358013469,0.00411386953116578,0.00175427540020536,0.804315542470191,-9.15891354448863e-05,0.0049339923551849,0.00191259472996031,0.718516949598343,0.00384686018514505,0.00680091480155541,0.0028152513463081,0.465201755751225,-9.77926441186841,25.939779771883,10.3016088357336,0.875332224296986
"20150629 11:30",4080,0.00104386910567703,0.000917262593686446,0.000644874489815847,0.903421345357991,-9.84245318747161e-05,0.000924239969456203,0.000638375527616813,0.90194646013175,-0.00645227434461778,0.00294681075963664,0.00105943478114552,0.00322237932213087,-10.230380342065,3.65786655608516,1.15516609934808,0.981907559071198
"20150629 12:00",4080,0.000937863940029422,0.000893187375174669,0.000641081061038575,0.894842757911212,-0.000101668053262733,0.000856692599587844,0.000639881053946288,0.903260449201744,-0.00714817433855893,0.00236935455754903,0.000976507059679971,0.260029944688635,-9.12240507170097,3.2664600991529,0.856110211875714,0.982123637415907
"20150629 14:00",4088,0.000948409313377974,0.00224980188060187,0.00088397681070017,0.754436114870063,-0.000118193928411207,0.00205173869246939,0.000868375391235312,0.795769762610108,-0.00380588397138134,0.00410039979340705,0.00126071894760959,0.184303965779245,-8.07729160575131,6.02096932077205,1.44080975111985,0.958033711812253
"20150630 08:00",2040,0.00509890195602758,0.0024907943788401,0.00111841111767611,0.84495519012656,-0.000230570000908949,0.00296588713242445,0.00116552731088272,0.78016809744767,0.0119436910049916,0.00378531480615081,0.00189145578285762,0.641915530269146,-21.8611317086075,7.39457560208528,1.46361252003091,0.89035813558193
"20150701 12:00",4088,0.00107525676153602,0.000998222751595496,0.000529978939971007,0.920110179959374,-7.99540698863153e-05,0.000961156018408208,0.000536808937904958,0.925933078523149,0.00566660157545316,0.00235033857009727,0.00133558093166066,0.557108475048687,-13.5614794740612,4.07323607086219,1.12912152504611,0.990298461730073
"20150702 12:00",8176,0.000808189875897809,0.000504087896221456,0.000313528508220409,0.856656249803263,-8.81871629918853e-05,0.000533552187220104,0.000322437267326379,0.839409432684622,-0.00341197913427125,0.00103014317617156,0.000433879678365116,0.401365967066233,-9.01662519962014,1.69650783630685,0.531973961014286,0.983802709597046
"20150702 14:00",8176,0.000856281508453778,0.00053174028918002,0.000384614897993858,0.875924253543633,-0.000108559869638779,0.000535772355433371,0.000391040954664146,0.874035442778131,-0.00444712102314091,0.00139557659041574,0.000580308384551258,0.145336585268049,-7.80923467928909,1.30968078857458,0.466337632176944,0.988910372691568
"20150702 16:00",8160,0.000808404027450702,0.000513480586619693,0.00035343802326831,0.839995554838404,-0.00012078846088086,0.000537345723699287,0.000365153642779883,0.824776809072518,-0.00203994970749445,0.000755787880830295,0.000431428566297884,0.653355879757114,-6.58902653915056,1.11655508491154,0.571013368868546,0.983856140176066
"20150702 21:00",4080,0.00537417745118516,0.000755620754871289,0.000461265984731777,0.938427936169129,0.000607435012888385,0.00071088593122136,0.000528811430158774,0.94550259874766,-0.00305491473371482,0.000957065603820089,0.000676700750074902,0.90122219506806,8.86056308055987,0.735247424111108,0.389607655580189,0.975992226357657
"20150704 12:00",4080,0.00245203932613846,0.00118276437549676,0.000482901995632999,0.762058517731663,-0.000135392889966042,0.00136034104137302,0.000552209322696527,0.685247423370649,0.00275791126821762,0.00245605724514314,0.00116265641341092,-0.0260077996525998,-16.3713854257961,3.07381224721132,0.945146188774021,0.952405245161577
"20150704 14:30",2040,0.00115917721320989,0.00245358629337123,0.00101869416052253,0.762206297204581,-7.88641406489956e-05,0.00226676573107106,0.00102333188255208,0.797039767109604,0.00278261433354333,0.00325277141540258,0.00148933837361324,0.582068827364435,-14.1298989665791,7.84143769294911,2.5150687774458,0.979846101079129
"20150705 15:00",4080,0.00254300066534714,0.000656594742558432,0.000449772601093893,0.900844712911674,-0.000134810233570337,0.00073175517266046,0.000493731704186602,0.87684482191911,0.00602686791899364,0.000868954161034801,0.000518751543342904,0.826333997048021,-18.5827655705537,1.80298983394688,0.714801738235472,0.984927874115186
"20150705 16:00",4080,0.00208330303136948,0.00073390946713903,0.000476450624272861,0.909374821656629,-0.000123908450789082,0.0008942255609305,0.000529932720503439,0.865457945919741,0.00683763401912689,0.00147519878083611,0.000758437722466194,0.633844987428035,-16.3755934718349,2.62821844589101,0.897342317589114,0.98099952462843
"20150706 11:30",2044,0.00138391832552942,0.00227403407906298,0.00100265838664,0.780426967874291,-7.52999331723366e-05,0.00226654119319698,0.00105698888072221,0.781871559385682,0.0028188890330918,0.00323267219141044,0.0012950989672524,0.556280621397231,-18.1947643024997,6.37490205634312,2.27731324661772,0.986162868334163
"20150707 08:00",4080,0.00312152048426416,0.000897862800211644,0.00055184030775438,0.866835786521063,-0.000197392279471143,0.000947996879091515,0.000591739997810721,0.851549595068572,0.0135659335463292,0.00199425226703331,0.00122723540017975,0.343056892883915,-15.7535627486072,2.12967341222087,0.755611841300304,0.971243475884402
"20150707 12:00",4080,0.00126116298878609,0.000832124942295786,0.000501120754105562,0.916569283162455,-0.000130496045131307,0.000939548583973917,0.000529552885950377,0.89363778326017,-0.0031205845307362,0.00301829525563435,0.00144060240697489,-0.0976713716033253,-9.67896300608293,3.34897466863635,0.8121977526383,0.9744028911603
"20150707 15:00",4080,0.0013156714824365,0.000974809071615273,0.000586758200117216,0.906450276904521,-0.000152281062467274,0.00115149895139498,0.000611115625423521,0.869463947325517,-0.00689375588629071,0.00265974152418897,0.000974677175963486,0.303562337267473,-8.49291323977316,2.75821759466841,0.737412721230367,0.980249204660159
"20150708 08:00",4080,0.00353389975210606,0.00103278817600141,0.0005607269813041,0.883998911842222,-0.00018241596749214,0.00113930048933376,0.000621903131236296,0.858838548107722,0.0109831159768301,0.00169756977170362,0.000938011271709666,0.686603014179864,-19.1551662659543,1.62475974406059,0.702557679103356,0.988474545980972
"20150708 11:30",4080,0.00192342673061396,0.00118540656582978,0.000663184416428491,0.876686876104885,-0.000140424357660671,0.00126454368423731,0.00067693981725134,0.859672652311848,0.00723931659177725,0.00316582426002967,0.00169677509541544,0.120474878207844,-13.5205008184797,2.79941297481209,0.832379336897777,0.985434757236045
"20150709 14:30",4080,0.0015669351445264,0.00171593551844527,0.000913088133563908,0.872833781360696,-0.000223707944824647,0.00165757054025003,0.000920284335900702,0.88133739758424,-0.0084561391595035,0.0033215732894095,0.00129345991297751,0.523505920723294,-6.99703000715296,2.20857335992056,0.732589429840374,0.98792279836669
"20150709 15:00",4080,0.00162499179674231,0.00116147178777324,0.000789934507565511,0.940569106929042,-0.000233023846420645,0.0012069267362805,0.000821575029914918,0.935826349883062,-0.00930935875617997,0.0031513872944694,0.00129253605611202,0.562479420616481,-7.02276956178971,2.00092005258465,0.712527454364803,0.98939843627801
"20150710 11:00",2040,0.00181162425202372,0.00216190263939525,0.00129924700430785,0.93685234174101,-0.000188757285712523,0.00287806262539649,0.00137818429568528,0.888085730045781,0.0109131025987363,0.00479689230270662,0.00313022927050649,0.689111310227119,-9.31445934165405,9.02478628642401,2.0105736773375,0.957955804522529
"20150710 14:00",2040,0.00181821246540176,0.00329542744292773,0.00185701490662105,0.930000606049126,-0.000251282284325364,0.00337136822926803,0.00194367751615269,0.926737260922608,0.00894705589884214,0.0109863945025767,0.00604999151629994,0.221997215392423,-7.22782022582931,4.51425036036301,1.60529284576813,0.990832201926984
"20150710 14:30",2040,0.00174711962876801,0.00430294211781203,0.00191499079277341,0.841095320593056,-0.000253361589649604,0.0047609755041883,0.00195661334475624,0.805465079320593,-0.0118739578530576,0.010334545806836,0.00524747222845812,0.0833818185159709,-6.88785329470325,4.50251224651314,1.57889363710297,0.985907904502558
"20150710 17:00",4088,0.00247844056873077,0.00246469570302718,0.00138401498305543,0.842495503363826,-0.00041706140189145,0.00323140846727922,0.00148222116653616,0.729261475025852,-0.00898662059739861,0.0043982539002692,0.00143420945207899,0.498435333673834,-5.60140732267921,2.98466080640178,0.880364645797381,0.945727462705492
"20150711 11:00",2040,0.00192705661586099,0.00315539042196637,0.00174425947711229,0.894030161198595,-0.000219981691679651,0.00319506218537619,0.00179621962875695,0.89134875720148,0.0108525115912534,0.00525657803945351,0.00357655570711763,0.70590861639649,-8.62075999139135,4.87704911705219,1.49702703568785,0.985174051526701
"20150711 12:00",2040,0.00201174140576069,0.00303454090249558,0.00183827242634667,0.91529753941666,-0.000254656764741052,0.00395826540487747,0.00199799089575433,0.855881459110222,0.0134247040615524,0.00902402568520979,0.00480511590274881,0.250950220014668,-7.77531876450948,7.72235352569824,1.69555515038588,0.961739207603437
"20150711 17:00",4088,0.00245203735056489,0.00267262455384153,0.00118464618446376,0.837118059113143,-0.000440600534841966,0.00327109923750369,0.00136966097564878,0.756003010876519,-0.0144886328004747,0.00578870533186966,0.00169832524718682,0.235882909660405,-5.43304152819697,2.78388844518047,0.789964811318529,0.960531682631706
"20150712 07:30",2044,0.00582990752786504,0.0059630713252646,0.00270465932691309,0.792407242574194,-0.00054713347411437,0.00925601229453617,0.00288395724950801,0.49982724081708,-0.00559725252187585,0.0127864865991865,0.00519863322942207,0.0455028298760839,-9.71918250167746,8.31420005235791,1.82521203481937,0.806033325174394
"20150712 13:30",4088,0.00180884079167133,0.0040423763585536,0.00174043100470969,0.786400046162867,-0.00028828080439094,0.00398150437794334,0.00174840703973309,0.792784585417616,-0.00503207691113527,0.00897857277603297,0.00359811455109002,-0.0537613811356756,-6.29104732268642,2.84339201411309,0.820782307140969,0.986583515972936
"20150712 17:30",2040,0.00383688704265118,0.0062244278321032,0.00369458147414861,0.866477309176384,-0.000792881822442757,0.00792349670935726,0.00423622368331179,0.783633525957886,-0.0180882684338902,0.0113655295920397,0.00417394296043537,0.554820089216539,-4.52195882013336,3.36642335789855,1.27255899065965,0.961051991430028
