20150411	0.014
20150412	0.014
20150413	0.017
20150414	0.018
20150415	0.02
20150416	0.02
20150417	0.02
20150418	0.02
20150419	0.019
20150420	0.017
20150421	0.015
20150422	0.013
20150423	0.01
20150424	0.006
20150425	0.002
20150426	0.003
20150427	0.008
20150428	0.013
20150429	0.019
20150430	0.026
20150501	0.032
20150502	0.04
20150503	0.047
20150504	0.055
20150505	0.064
20150506	0.073
20150507	0.082
20150508	0.091
20150509	0.101
20150510	0.111
20150511	0.122
20150512	0.133
20150513	0.144
20150514	0.155
20150515	0.167
20150516	0.179
20150517	0.191
20150518	0.204
20150519	0.217
20150520	0.23
20150521	0.243
20150522	0.256
20150523	0.27
20150524	0.284
20150525	0.298
20150526	0.312
20150527	0.327
20150528	0.341
20150529	0.356
20150530	0.371
20150531	0.386
20150601	0.401
20150602	0.416
20150603	0.431
20150604	0.446
20150605	0.462
20150606	0.477
20150607	0.493
20150608	0.508
20150609	0.524
20150610	0.539
20150611	0.555
20150612	0.57
20150613	0.586
20150614	0.602
20150615	0.617
20150616	0.633
20150617	0.648
20150618	0.663
20150619	0.679
20150620	0.694
20150621	0.709
20150622	0.724
20150623	0.739
20150624	0.754
20150625	0.768
20150626	0.783
20150627	0.797
20150628	0.812
20150629	0.826
20150630	0.839
20150701	0.853
20150702	0.866
20150703	0.88
20150704	0.893
20150705	0.906
20150706	0.918
20150707	0.93
20150708	0.942
20150709	0.954
20150710	0.966
20150711	0.977
20150712	0.987
20150713	0.998
20150714	1.008
20150715	1.018
20150716	1.028
20150717	1.037
20150718	1.046
20150719	1.054
20150720	1.062
20150721	1.07
20150722	1.077
20150723	1.084
20150724	1.09
20150725	1.096
20150726	1.101
20150727	1.106
20150728	1.111
20150729	1.115
20150730	1.119
20150731	1.122
20150801	1.124
20150802	1.126
20150803	1.128
20150804	1.129
20150805	1.129
20150806	1.129
20150807	1.129
20150808	1.127
20150809	1.125
20150810	1.123
20150811	1.12
20150812	1.116
20150813	1.112
20150814	1.107
20150815	1.101
20150816	1.095
20150817	1.088
