 index  w  T  q  CO2  CH4
           4   1.9269788816984939        4.5194547818182400        5.3451760709714335       -32.171053617137659       -2.0335272253161563E-002
           4  -2.2780052189856161       -13.895082261702782       -18.571862673201736        324.56349208759275       -1.2264624750734754E-002
           4 -0.75140248607855042        6.7832247298485981        7.0647685017403319       -117.97006275989042       -9.3008456864667188E-003
           4 -0.60060387003705462       -5.8051369777972468       -7.4449783199503372        189.74379566567222       -1.5477494406197945E-002
           8  -5.0706568956707034       -5.0410928726197426       -30.901861280202979        528.83803749084109       -8.1033457652665675E-002
           8  0.55139157131247873        2.4248023033142090        7.2419987022876740       -106.77585220337278        3.9235668955370784E-003
           8  -1.1535863612181205        1.3331670761108398        4.1954407989978790       -95.434244155887427        2.1086588967591524E-003
           8   1.7188459568899908      -0.80682563781761019       0.43958941102039262       -38.667726516723633        7.5048024300485849E-003
           8  -1.2316580368640175       -7.2521090507507324       -12.875945538282281        219.62541961669558       -2.2205168730579761E-002
           8  0.67427272067061428      -0.50519943237316056       -1.5904843509197235        109.16739177703857        8.2599545130506158E-003
           8   1.0328263439484990       -1.8826794624328613        2.0614374279975891       -77.773366928100586        1.0760178556665778E-003
           8   2.2312834486382349        4.2142567634583656        13.050737649202460       -183.12410163879395        1.4329533791169524E-002
          16  -3.3387041136733435       -5.9610000696879979       -16.942462222316351        274.43458343538987       -2.7569388777071380E-002
          16   2.3826103715509745        2.8925773255781451        4.1487417233218480       -59.363965602713506       -5.1052602724699359E-003
          16   1.8191198996993529       0.70736640577331400        3.3109741483674497       -52.569095192860914        5.0459236013034037E-003
          16   1.3976287710909014       0.14210433748803553        2.6809248296351029        7.3548246726259094        1.9338591811382200E-002
          16  -1.8952917316091598       -5.4115852164428588       -13.224185439652331        284.03365968191247       -2.0785624665026425E-002
          16  0.60786856720701243        4.0402346618304819        11.743459050560375       -216.70282163904449        1.6701255235354706E-002
          16 -0.80687797463132571       0.49596455713856358        2.0104329545050064       -52.121283915907043        4.0650447703571846E-003
          16  0.70224763924799816        5.8380593984558118        13.138548269687305       -253.52196727727278        2.3249285602869207E-002
          16 -0.82731879284786647      -0.22219953404851367      -0.57635444446384554       -8.2537717699433415        9.3433229596848744E-003
          16   2.1808838772788395        7.2205623463588609        17.347344152368521       -306.05647912647146        2.2380832008600526E-002
          16 -0.90021413218078572      -0.33892202783897574       -3.2073225302652872        56.902863435607287       -8.0168967704130623E-003
          16  -1.0099102856828606       -5.5787490585311161       -14.042160264490121        289.17519351838382       -1.4272286422192249E-002
          16  -1.4188067472573729       -5.5540725844901999       -6.7113954996584653        84.769064919822995        7.3922083648576553E-003
          16  -1.2321996274766189       -1.9360920250248910       -1.6345923104191229        39.981436494645095       -1.2234938716767729E-002
          16  0.36091579226662318        3.1823224105745567        2.2112294759427300       -10.759573873056070        1.2768076594087407E-003
          16   1.2564499677275927       -4.3861921787979554       -5.1226029051107389        100.27878957622852        4.5557567409386657E-003
          32  -1.2161380318539150       0.97369289398187675        2.7795498371123699       -61.986814498901367        8.5764355026185513E-003
          32   1.2634613516902384        6.1335105895996662        13.068406164646092       -233.92953109741211        1.1060116114094853E-002
          32   4.3794228552924288        5.5485830307006268        9.5018301606178284       -172.64448738098145        1.4438353944569826E-002
          32 -0.52696670183831817       -1.0136966705322266       -5.0698748230934143        95.510231018066406       -1.2425644323229568E-002
          32  0.77973673533642751        4.3936920166015625        19.031450927257481       -333.47548675536927        4.1788369184359908E-002
          32 -0.47323029376184372        1.8411836624145508        4.8148019909858704       -99.441469192504883        8.6592794395983219E-003
          32  -1.0718232662256910      -0.36731529235839844       -1.7487273812294006        52.777067184448242       -3.6578546278178692E-003
          32  -1.8922256505875326      -0.91694831848144531       -1.5008369684219360        38.675987243652344        1.0402533225715160E-003
          32   2.2854163608963325        4.6763753890990643        15.184688746929112       -297.92996788024902        3.0506103299558163E-002
          32  -3.3379397203991599       -7.5609769821166992       -20.128344357013702        419.26592445373535       -3.6594153614714742E-002
          32  -5.6318884330304131E-002   3.3735151290895260        9.2277548313140869       -196.53646469116211        1.5357316471636295E-002
